CEFACT Code;Engineering UnitId;Description;DisplayName
E14;4534580;kilocalorie (international table);kcalIT
E15;4534581;kilocalorie (thermochemical) per hour;kcalth/h
E16;4534582;million Btu(IT) per hour;BtuIT/h
E17;4534583;cubic foot per second;ft³/s
E18;4534584;tonne per hour;t/h
E19;4534585;ping;
E20;4534832;megabit per second;Mbit/s
E21;4534833;shares;
E22;4534834;TEU;
E23;4534835;tyre;
E25;4534837;active unit;
E27;4534839;dose;
E28;4534840;air dry ton;
E30;4535088;strand;
E31;4535089;square metre per litre;m²/l
E32;4535090;litre per hour;l/h
E33;4535091;foot per thousand;
E34;4535092;gigabyte;Gbyte
E35;4535093;terabyte;Tbyte
E36;4535094;petabyte;Pbyte
E37;4535095;pixel;
E38;4535096;megapixel;
E39;4535097;dots per inch;dpi
E4;17716;gross kilogram;
E40;4535344;part per hundred thousand;ppht
E41;4535345;kilogram-force per square millimetre;kgf·m/cm²
E42;4535346;kilogram-force per square centimetre;kgf/cm²
E43;4535347;joule per square centimetre;J/cm²
E44;4535348;kilogram-force metre per square centimetre;kgf·m/cm²
E45;4535349;milliohm;m?
E46;4535350;kilowatt hour per cubic metre;kW·h/m³
E47;4535351;kilowatt hour per kelvin;kW·h/K
E48;4535352;service unit;
E49;4535353;working day;
E50;4535600;accounting unit;
E51;4535601;job;
E52;4535602;run foot;
E53;4535603;test;
E54;4535604;trip;
E55;4535605;use;
E56;4535606;well;
E57;4535607;zone;
E58;4535608;exabit per second;Ebit/s
E59;4535609;exbibyte;Eibyte
E60;4535856;pebibyte;Pibyte
E61;4535857;tebibyte;Tibyte
E62;4535858;gibibyte;Gibyte
E63;4535859;mebibyte;Mibyte
E64;4535860;kibibyte;Kibyte
E65;4535861;exbibit per metre;Eibit/m
E66;4535862;exbibit per square metre;Eibit/m²
E67;4535863;exbibit per cubic metre;Eibit/m³
E68;4535864;gigabyte per second;Gbyte/s
E69;4535865;gibibit per metre;Gibit/m
E70;4536112;gibibit per square metre;Gibit/m²
E71;4536113;gibibit per cubic metre;Gibit/m³
E72;4536114;kibibit per metre;Kibit/m
E73;4536115;kibibit per square metre;Kibit/m²
E74;4536116;kibibit per cubic metre;Kibit/m³
E75;4536117;mebibit per metre;Mibit/m
E76;4536118;mebibit per square metre;Mibit/m²
E77;4536119;mebibit per cubic metre;Mibit/m³
E78;4536120;petabit;Pbit
E79;4536121;petabit per second;Pbit/s
E80;4536368;pebibit per metre;Pibit/m
E81;4536369;pebibit per square metre;Pibit/m²
